TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD3,1,1,0,0,1,0,0,0,M3,0.731189710610933
TeD3,0,1,0,0,1,1,0,1,M3,0.770418006430868
TeD3,0,0,1,0,0,1,0,1,M3,0.720257234726688
TeD3,0,1,0,1,0,1,0,0,M3,0.65016077170418
TeD3,1,1,1,1,1,0,1,0,M3,0.735691318327974
TeD3,0,1,1,0,0,0,1,0,M3,0.737620578778135
TeD3,1,1,0,1,1,0,1,1,M3,0.754983922829582
TeD3,0,1,1,0,0,1,1,0,M3,0.740836012861736
TeD3,1,1,1,1,1,0,1,1,M3,0.719614147909968
TeD3,1,1,1,0,0,1,1,1,M3,0.751125401929261
TeD3,1,0,1,0,0,0,0,0,M3,0.639228295819936
TeD3,1,0,1,1,1,0,0,0,M3,0.727974276527331
TeD3,0,1,0,0,0,0,1,0,M3,0.715755627009646
TeD3,1,1,1,0,0,1,0,0,M3,0.67459807073955
TeD3,0,1,1,1,1,1,1,1,M3,0.74855305466238
TeD3,0,1,1,0,1,1,0,1,M3,0.745980707395498
TeD3,0,0,1,0,0,1,0,0,M3,0.632797427652733
TeD3,0,1,1,1,0,1,0,0,M3,0.69967845659164
TeD3,0,1,0,0,0,0,1,1,M3,0.756270096463022
TeD3,1,0,0,1,0,0,0,0,M3,0.633440514469453
TeD3,1,1,1,0,0,0,0,0,M3,0.637299035369775
TeD3,0,1,1,0,1,1,1,0,M3,0.762700964630225
TeD3,0,1,0,0,1,0,0,0,M3,0.722186495176849
TeD3,1,1,1,1,1,1,0,1,M3,0.736977491961415
TeD3,0,1,1,0,1,0,0,1,M3,0.765916398713826
TeD3,0,1,1,0,0,1,0,0,M3,0.64951768488746
TeD3,1,0,1,1,1,1,0,0,M3,0.733118971061093
TeD3,0,1,0,0,1,1,0,0,M3,0.74983922829582
TeD3,0,1,0,0,0,1,1,0,M3,0.727331189710611
TeD3,1,0,1,1,0,0,1,1,M3,0.74983922829582
TeD3,1,1,0,1,0,1,1,1,M3,0.754983922829582
TeD3,1,1,0,0,1,1,0,0,M3,0.715755627009646
TeD3,0,0,1,0,1,0,0,0,M3,0.756270096463022
TeD3,0,0,0,1,1,0,0,1,M3,0.781993569131833
TeD3,0,1,1,0,0,0,0,1,M3,0.720257234726688
TeD3,1,1,1,1,1,1,1,0,M3,0.733762057877814
TeD3,0,1,0,0,0,1,1,1,M3,0.756913183279743
TeD3,0,0,0,0,1,0,0,1,M3,0.718971061093248
TeD3,1,0,1,1,0,0,0,0,M3,0.677170418006431
TeD3,1,0,1,1,0,1,1,1,M3,0.741479099678457
TeD3,1,1,0,1,0,0,0,0,M3,0.670739549839228
TeD3,0,1,0,1,0,0,0,0,M3,0.631511254019293
TeD3,1,1,0,0,0,0,0,1,M3,0.740836012861736
TeD3,0,0,1,1,1,0,1,1,M3,0.753697749196141
TeD3,0,0,1,0,0,0,1,0,M3,0.727331189710611
TeD3,1,1,1,1,1,1,1,1,M3,0.748553054662379
TeD3,1,1,1,1,1,1,1,1,M3,0.765916398713826
TeD3,1,1,1,1,1,1,1,1,M3,0.747909967845659
TeD3,1,1,1,1,1,1,1,1,M3,0.740192926045016
TeD3,1,1,1,1,1,1,1,1,M3,0.753697749196142
TeD4,1,1,0,0,0,1,0,0,M3,0.434558093346574
TeD4,1,1,1,0,1,1,1,0,M3,0.534061569016882
TeD4,0,1,1,0,0,0,0,0,M3,0.39364448857994
TeD4,0,0,1,0,0,0,0,1,M3,0.502681231380338
TeD4,0,1,0,1,1,1,1,1,M3,0.553128103277061
TeD4,1,0,1,0,0,1,0,0,M3,0.465938430983118
TeD4,1,0,1,1,1,1,0,1,M3,0.53604766633565
TeD4,1,1,1,0,1,1,0,1,M3,0.551737835153923
TeD4,0,0,0,0,0,1,1,0,M3,0.52154915590864
TeD4,1,0,0,0,0,1,0,0,M3,0.453426017874876
TeD4,0,1,0,0,1,0,1,0,M3,0.513803376365442
TeD4,1,0,1,1,1,1,1,1,M3,0.531281032770606
TeD4,1,1,0,0,0,0,0,0,M3,0.329294935451837
TeD4,0,1,1,0,1,1,0,0,M3,0.514796425024826
TeD4,0,0,0,0,0,1,0,1,M3,0.527904667328699
TeD4,0,1,0,0,0,1,0,1,M3,0.515988083416087
TeD4,0,0,1,1,1,1,1,1,M3,0.55630585898709
TeD4,0,0,0,0,1,1,0,0,M3,0.500496524329692
TeD4,0,1,0,0,0,0,0,1,M3,0.497715988083416
TeD4,0,1,0,0,1,1,1,0,M3,0.527110228401192
TeD4,0,1,0,0,0,1,0,0,M3,0.408142999006951
TeD4,0,1,0,1,0,1,0,1,M3,0.523733862959285
TeD4,1,1,0,0,1,0,0,0,M3,0.479642502482622
TeD4,0,1,0,0,1,1,0,1,M3,0.553326713008937
TeD4,0,0,1,0,0,1,0,1,M3,0.518172790466733
TeD4,0,1,0,1,0,1,0,0,M3,0.464349553128103
TeD4,1,1,1,1,1,0,1,0,M3,0.537835153922542
TeD4,0,1,1,0,0,0,1,0,M3,0.487189672293942
TeD4,1,1,0,1,1,0,1,1,M3,0.559285004965243
TeD4,0,1,1,0,0,1,1,0,M3,0.504468718967229
TeD4,1,1,1,1,1,0,1,1,M3,0.56643495531281
TeD4,1,1,1,0,0,1,1,1,M3,0.558093346573982
TeD4,1,0,1,0,0,0,0,0,M3,0.441708043694141
TeD4,1,0,1,1,1,0,0,0,M3,0.517775571002979
TeD4,0,1,0,0,0,0,1,0,M3,0.464945382323734
TeD4,1,1,1,0,0,1,0,0,M3,0.461966236345581
TeD4,0,1,1,1,1,1,1,1,M3,0.598808341608739
TeD4,0,1,1,0,1,1,0,1,M3,0.543992055610725
TeD4,0,0,1,0,0,1,0,0,M3,0.462164846077458
TeD4,0,1,1,1,0,1,0,0,M3,0.481231380337637
TeD4,0,1,0,0,0,0,1,1,M3,0.537239324726912
TeD4,1,0,0,1,0,0,0,0,M3,0.441708043694141
TeD4,1,1,1,0,0,0,0,0,M3,0.405163853028798
TeD4,0,1,1,0,1,1,1,0,M3,0.555511420059583
TeD4,0,1,0,0,1,0,0,0,M3,0.475670307845084
TeD4,1,1,1,1,1,1,0,1,M3,0.542601787487587
TeD4,0,1,1,0,1,0,0,1,M3,0.540417080436941
TeD4,0,1,1,0,0,1,0,0,M3,0.467130089374379
TeD4,1,0,1,1,1,1,0,0,M3,0.500893743793446
TeD4,0,1,0,0,1,1,0,0,M3,0.515392254220457
TeD4,0,1,0,0,0,1,1,0,M3,0.499503475670308
TeD4,1,0,1,1,0,0,1,1,M3,0.580734856007944
TeD4,1,1,0,1,0,1,1,1,M3,0.546971201588878
TeD4,1,1,0,0,1,1,0,0,M3,0.507447864945382
TeD4,0,0,1,0,1,0,0,0,M3,0.501688182720953
TeD4,0,0,0,1,1,0,0,1,M3,0.555312810327706
TeD4,0,1,1,0,0,0,0,1,M3,0.52850049652433
TeD4,1,1,1,1,1,1,1,0,M3,0.513604766633565
TeD4,0,1,0,0,0,1,1,1,M3,0.542999006951341
TeD4,0,0,0,0,1,0,0,1,M3,0.52214498510427
TeD4,1,0,1,1,0,0,0,0,M3,0.458589870903674
TeD4,1,0,1,1,0,1,1,1,M3,0.571797418073486
TeD4,1,1,0,1,0,0,0,0,M3,0.406554121151937
TeD4,0,1,0,1,0,0,0,0,M3,0.411717974180735
TeD4,1,1,0,0,0,0,0,1,M3,0.482423038728898
TeD4,0,0,1,1,1,0,1,1,M3,0.548957298907647
TeD4,0,0,1,0,0,0,1,0,M3,0.512214498510427
TeD4,1,1,1,1,1,1,1,1,M3,0.585700099304866
TeD4,1,1,1,1,1,1,1,1,M3,0.542800397219464
TeD4,1,1,1,1,1,1,1,1,M3,0.567825223435948
TeD4,1,1,1,1,1,1,1,1,M3,0.572194637537239
TeD4,1,1,1,1,1,1,1,1,M3,0.574776564051638
TeD5,1,1,0,0,0,1,0,0,M3,0.042778730050862
TeD5,1,1,1,0,1,1,1,0,M3,0.0555561156338094
TeD5,0,1,1,0,0,0,0,0,M3,0.0437297474355231
TeD5,0,0,1,0,0,0,0,1,M3,0.0544796751466284
TeD5,0,1,0,1,1,1,1,1,M3,0.0563145339250836
TeD5,1,0,1,0,0,1,0,0,M3,0.0516014422798913
TeD5,1,0,1,1,1,1,0,1,M3,0.05608210783766
TeD5,1,1,1,0,1,1,0,1,M3,0.0564561444158158
TeD5,0,0,0,0,0,1,1,0,M3,0.0499165731853128
TeD5,1,0,0,0,0,1,0,0,M3,0.0459776972516996
TeD5,0,1,0,0,1,0,1,0,M3,0.051440126999592
TeD5,1,0,1,1,1,1,1,1,M3,0.0554252282791367
TeD5,1,1,0,0,0,0,0,0,M3,0.0323196536143078
TeD5,0,1,1,0,1,1,0,0,M3,0.0546492962163103
TeD5,0,0,0,0,0,1,0,1,M3,0.0561427945307531
TeD5,0,1,0,0,0,1,0,1,M3,0.053202351807204
TeD5,0,0,1,1,1,1,1,1,M3,0.0584002098992884
TeD5,0,0,0,0,1,1,0,0,M3,0.0504013286479475
